Date,Date Int,Day Name Short,Day Num Week,Day of Year,Month Day Num,Month Name Short,Month Num,Month Year,Month Year Order,Quarter Num,Quarter Year,Quarter Year Order,Week Ending,Week Num,Week Year,Week Year Order,Year
2021-05-31 00:00:00,20210531,Mon,2,151,31,May,5,May 2021,202105,2,Q2 2021,20212,2021-06-05 00:00:00,23,W23 2021,202123,2021
2021-06-01 00:00:00,20210601,Tue,3,152,1,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-05 00:00:00,23,W23 2021,202123,2021
2021-06-02 00:00:00,20210602,Wed,4,153,2,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-05 00:00:00,23,W23 2021,202123,2021
2021-06-03 00:00:00,20210603,Thu,5,154,3,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-05 00:00:00,23,W23 2021,202123,2021
2021-06-04 00:00:00,20210604,Fri,6,155,4,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-05 00:00:00,23,W23 2021,202123,2021
2021-06-05 00:00:00,20210605,Sat,7,156,5,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-05 00:00:00,23,W23 2021,202123,2021
2021-06-06 00:00:00,20210606,Sun,1,157,6,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-12 00:00:00,24,W24 2021,202124,2021
2021-06-07 00:00:00,20210607,Mon,2,158,7,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-12 00:00:00,24,W24 2021,202124,2021
2021-06-08 00:00:00,20210608,Tue,3,159,8,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-12 00:00:00,24,W24 2021,202124,2021
2021-06-09 00:00:00,20210609,Wed,4,160,9,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-12 00:00:00,24,W24 2021,202124,2021
2021-06-10 00:00:00,20210610,Thu,5,161,10,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-12 00:00:00,24,W24 2021,202124,2021
2021-06-11 00:00:00,20210611,Fri,6,162,11,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-12 00:00:00,24,W24 2021,202124,2021
2021-06-12 00:00:00,20210612,Sat,7,163,12,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-12 00:00:00,24,W24 2021,202124,2021
2021-06-13 00:00:00,20210613,Sun,1,164,13,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-19 00:00:00,25,W25 2021,202125,2021
2021-06-14 00:00:00,20210614,Mon,2,165,14,Jun,6,Jun 2021,202106,2,Q2 2021,20212,2021-06-19 00:00:00,25,W25 2021,202125,2021
